lambda_um,width_um,height_um,n_eff_TE,n_eff_TM
0.75,0.75,0.6,1.91773806183364,1.91149274611882
0.75,0.75,0.625,1.92145855000793,1.91661517545052
0.75,0.75,0.65,1.92486448610255,1.92122916872422
0.75,0.75,0.675,1.92796114742469,1.92541378071121
0.75,0.75,0.7,1.93081059697025,1.92920605364887
0.75,0.75,0.725,1.93341370125587,1.93266379740145
0.75,0.75,0.75,1.93584826431504,1.93578747074665
0.75,0.75,0.775,1.93803338910335,1.93870810854982
0.75,0.75,0.8,1.9400827477106,1.94135913135133
0.75,0.75,0.825,1.94198179693652,1.94379871020524
0.75,0.75,0.85,1.94374703570099,1.94604966059022
0.75,0.75,0.875,1.94539394921453,1.94813290252145
0.75,0.75,0.9,1.94693812814519,1.95006807758129
0.75,0.75,0.925,1.94839666878296,1.95187460870226
0.75,0.75,0.95,1.94979047536722,1.95357334762119
0.75,0.75,0.975,1.9511484945098,1.95518946140659
0.75,0.75,1,1.95251642104195,1.95675823519964
0.75,0.775,0.6,1.92064216309334,1.91371724424674
0.75,0.775,0.625,1.9243477471959,1.91881663313665
0.75,0.775,0.65,1.92776330019015,1.92344712054049
0.75,0.775,0.675,1.93084692914386,1.92761212581796
0.75,0.775,0.7,1.93370439274379,1.93141830223631
0.75,0.775,0.725,1.93629574033528,1.93485954519048
0.75,0.775,0.75,1.93870926110421,1.93802296585686
0.75,0.775,0.775,1.94094340922501,1.94089011152736
0.75,0.775,0.8,1.94296793878988,1.94356173367753
0.75,0.775,0.825,1.94486539493843,1.94599887720578
0.75,0.775,0.85,1.9466288280255,1.94824775879049
0.75,0.775,0.875,1.94827389570487,1.95032906285979
0.75,0.775,0.9,1.94981616487442,1.95226236517898
0.75,0.775,0.925,1.95127265277367,1.95406703272202
0.75,0.775,0.95,1.95266412313007,1.95576384126252
0.75,0.775,0.975,1.95401927267052,1.95737783450703
0.75,0.775,1,1.95538331317926,1.95894407178116
0.75,0.8,0.6,1.9233068341433,1.91578453393908
0.75,0.8,0.625,1.92702069905914,1.92090117420366
